Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Exception
Natural,SDH Architects,5.0,(917) 447-2050,http://yelp.com/biz/sdh-architects-brooklyn,,
Natural,Aaron Bollman & Company,5.0,(646) 308-1632,http://yelp.com/biz/aaron-bollman-and-company-new-york,,
Natural,Derk Garlick Architects LLC,5.0,(201) 330-8182,http://yelp.com/biz/derk-garlick-architects-llc-hoboken,,
Natural,Paris K Interior Design,5.0,(212) 532-4506,http://yelp.com/biz/paris-k-interior-design-manhattan,,
Natural,Kcc Architects,5.0,(718) 392-0078,http://yelp.com/biz/kcc-architects-long-island-city,,
Natural,Anderson Architects,5.0,(212) 620-0996,http://yelp.com/biz/anderson-architects-new-york,,
Natural,A Architecture Studio,5.0,(718) 805-2797,http://yelp.com/biz/a-architecture-studio-queens,,
Natural,Nomad Architecture,5.0,(718) 786-5600,http://yelp.com/biz/nomad-architecture-long-island-city,,
Natural,RMF Architect,5.0,(609) 720-1234,http://yelp.com/biz/rmf-architect-princeton,,
Natural,SimpleTwig Architecture.llc,5.0,(718) 488-7894,http://yelp.com/biz/simpletwig-architecture-llc-brooklyn,,
Natural,Andrew Mikhael Architect,5.0,(212) 729-7554,http://yelp.com/biz/andrew-mikhael-architect-new-york,,
Natural,Scott Schnall Consulting,3.5,(718) 875-2036,http://yelp.com/biz/scott-schnall-consulting-brooklyn,,
Natural,Casini Peter J Archt,5.0,(718) 520-5000,http://yelp.com/biz/casini-peter-j-archt-forest-hills,,
Natural,SubenDougherty,5.0,(212) 524-8500,http://yelp.com/biz/subendougherty-new-york,,
Natural,Tatyana Design LLC,5.0,(212) 627-9856,http://yelp.com/biz/tatyana-design-llc-new-york,,
Natural,"Ed Kopel  Architect, PC",5.0,(718) 237-0162,http://yelp.com/biz/ed-kopel-architect-pc-brooklyn,,
Natural,The Renovated Home 1 Ltd,5.0,(212) 517-7020,http://yelp.com/biz/the-renovated-home-1-ltd-new-york,,
Natural,AHM Architects,5.0,(973) 258-0800,http://yelp.com/biz/ahm-architects-millburn,,
Natural,DMDesign & Architecture,5.0,(917) 566-1608,http://yelp.com/biz/dmdesign-and-architecture-new-york,,
Natural,Stone Surfaces,3.5,(201) 935-8803,http://yelp.com/biz/stone-surfaces-east-rutherford,,
Natural,Workshop/APD,5.0,(212) 273-9712,http://yelp.com/biz/workshop-apd-new-york,,
Natural,1 Hour With Bill,5.0,(917) 595-0679,http://yelp.com/biz/1-hour-with-bill-new-york,,
Natural,Loadingdock5 Architecture,4.0,(718) 414-6510,http://yelp.com/biz/loadingdock5-architecture-brooklyn,,
Natural,Gino O Longo,5.0,(718) 445-5663,http://yelp.com/biz/gino-o-longo-college-point,,
Natural,Hardesty & Hanover Engrs,5.0,(212) 944-1150,http://yelp.com/biz/hardesty-and-hanover-engrs-new-york,,
Natural,Incorporated Architecture & Design,5.0,(212) 673-1695,http://yelp.com/biz/incorporated-architecture-and-design-new-york,,
Natural,reCON Studio,5.0,,http://yelp.com/biz/recon-studio-kings-county,,
Natural,Anthony James Construction,5.0,(908) 233-2225,http://yelp.com/biz/anthony-james-construction-westfield,,
Natural,NDNY Architecture + Design PLLC,5.0,(917) 691-3416,http://yelp.com/biz/ndny-architecture-design-pllc-manhattan,,
Natural,"RAND Engineering & Architecture, PC",5.0,(212) 675-8844,http://yelp.com/biz/rand-engineering-and-architecture-pc-new-york-2,,
Natural,LUV design,5.0,(646) 580-1653,http://yelp.com/biz/luv-design-manhattan,,
Natural,ReBUILD Workshop,5.0,(718) 535-7980,http://yelp.com/biz/rebuild-workshop-new-york-2,,
Natural,Porter Clapp Architects,5.0,(212) 352-1210,http://yelp.com/biz/porter-clapp-architects-new-york,,
