Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email
Ad,"Michael Ciaravino, M.D., F.A.C.S.",5.0,(713) 627-1200,http://www.yelp.com/biz/michael-ciaravino-md-houston,http://www.thebodydoc.com,,"3700 Buffalo Speedway, Suite 850",Houston,TX,77098
Ad,"Paul Vitenas Jr, MD",5.0,(281) 484-0088,http://www.yelp.com/biz/paul-vitenas-jr-md-houston,http://www.drvitenas.com/,,4208 Richmond AveSte 200,Houston,TX,77089
Natural,Berzin Edward MD,5.0,(713) 722-0111,http://yelp.com/biz/berzin-edward-md-houston-2?osq=plastic+surgery,http://www.drberzin.com,,6560 Fannin St,Houston,TX,77030
Natural,Vitenas Cosmetic Surgery,5.0,(281) 484-0088,http://yelp.com/biz/vitenas-cosmetic-surgery-houston?osq=plastic+surgery,http://www.drvitenas.com,,4208 Richmond AveSte 200,Houston,TX,77027
Natural,Nikko Comestic Surgery Center,4.0,(713) 960-1311,http://yelp.com/biz/nikko-comestic-surgery-center-houston?osq=plastic+surgery,http://www.drnikko.com,,1001 W Lp SSte 813,Houston,TX,77027
Natural,"Berkeley Powell, MD",5.0,(713) 960-9422,http://yelp.com/biz/berkeley-powell-md-houston?osq=plastic+surgery,http://www.dr-powell.com,,4200 Westheimer RdSte 288,Houston,TX,77027
Natural,"John LoMonaco, MD FACS",5.0,(713) 526-5550,http://yelp.com/biz/john-lomonaco-md-facs-houston?osq=plastic+surgery,http://www.DrLoMonaco.com,,1009 Missouri St,Houston,TX,77006
Natural,"Bancroft Feldman Houston TX, Plastic Surgery",5.0,(281) 313-0540,http://yelp.com/biz/bancroft-feldman-plastic-surgery-sugar-land?osq=plastic+surgery,http://www.bancroftfeldman.com,,4690 Sweetwater Blvd. #140,Sugar Land,TX,77479
Natural,"Clayton L. Moliver MD, FACS",4.5,(281) 282-9555,http://yelp.com/biz/clayton-l-moliver-md-facs-webster-2?osq=plastic+surgery,http://www.houston-plasticsurgeons.com,,Houston Plastic and Reconstructive Surgery575 E Medical Center Blvd,Webster,TX,77598
Natural,Yeung Institute,4.0,(713) 795-4885,http://yelp.com/biz/yeung-institute-houston?osq=plastic+surgery,http://www.yeunginstitute.com,,1103 Banks St,Houston,TX,77006
Ad,Kelsey-Seybold Clinic - Pearland,N/A,(713) 442-7200,http://www.yelp.com/biz/kelsey-seybold-clinic-pearland-pearland,http://www.kelsey-seybold.com/Find-a-Location/pages/pearland.aspx?cid=Yelp,,2515 Business Center Drive,Pearland,TX,77584
Natural,Ankur Mehta MD,5.0,(281) 242-8463,http://yelp.com/biz/ankur-mehta-md-sugar-land?osq=plastic+surgery,http://www.timelessplasticsurgery.com,,1327 Lake Pointe PkwySte 300,Sugar Land,TX,77478
Natural,Boynton Plastic Surgery,5.0,(713) 800-6060,http://yelp.com/biz/boynton-plastic-surgery-houston?osq=plastic+surgery,http://www.boyntonplasticsurgery.com/,,1900 St. James PlaceSuite 200,Houston,TX,77056
Natural,Bayview Plastic Surgery,4.0,(281) 286-1000,http://yelp.com/biz/bayview-plastic-surgery-webster?osq=plastic+surgery,http://www.donnarichmd.com,,300 E Medical Center Blvd,Webster,TX,77598
